# Lexdi word list: 2026 Swift and Apple
word	action
cocoapods	add
codesign	add
codesigning	add
dsym	add
ios	add
siri	add
testflight	add
uikit	add
xcconfig	add
xcode	add
xcodebuild	add
xcodeproj	add
xcrun	add
xcworkspace	add
